5,Downstairs,1,490399.5481243731
5,Downstairs,3,493757.0491125564
5,Downstairs,4,502789.19419000926
5,Downstairs,5,510601.02584762324
5,Downstairs,6,522055.7675762074
5,Downstairs,7,501874.4023252819
5,Downstairs,8,510481.09171802225
5,Downstairs,10,502462.1050127954
5,Downstairs,11,511589.19549276034
5,Downstairs,12,489435.56473712437
5,Downstairs,13,513346.19944731146
5,Downstairs,14,478525.999644277
5,Downstairs,15,506311.84825641674
5,Downstairs,16,495589.32783250924
5,Downstairs,17,531203.108618496
5,Downstairs,18,498921.6329761731
5,Downstairs,19,492782.69402430736
5,Downstairs,20,512829.7878173924
5,Downstairs,21,506921.93621619215
5,Downstairs,22,518007.06513145915
5,Downstairs,23,507768.7048348007
5,Downstairs,24,486678.53994740464
5,Downstairs,26,509140.6557358112
5,Downstairs,27,491773.0265835362
5,Downstairs,28,523003.49055170146
5,Downstairs,29,506805.5222397283
5,Downstairs,30,491155.2734223761
5,Downstairs,31,518554.653306252
5,Downstairs,32,483382.9873217517
5,Downstairs,33,521108.8881910058
5,Downstairs,34,505522.14719431824
5,Downstairs,36,525703.5136441626
5,Jogging,1,478353.21676535084
5,Jogging,2,492727.99298321747
5,Jogging,3,485240.38313691947
5,Jogging,4,480664.78401890595
5,Jogging,5,493165.7173541902
5,Jogging,6,465746.8324480055
5,Jogging,7,473133.6420664655
5,Jogging,8,474919.4761196716
5,Jogging,10,488389.6792666503
5,Jogging,11,496681.4015891992
5,Jogging,12,498112.2310260166
5,Jogging,13,468857.24848248984
5,Jogging,14,479585.8934994731
5,Jogging,15,471319.2517281894
5,Jogging,17,481602.20817013783
5,Jogging,18,469684.7860176542
5,Jogging,19,481986.5628426293
5,Jogging,20,462311.8341236409
5,Jogging,21,495688.9376209106
5,Jogging,22,499096.8926649949
5,Jogging,23,466740.4498449123
5,Jogging,24,482396.27523497597
5,Jogging,25,478948.934936892
5,Jogging,26,478881.1369907401
5,Jogging,27,470519.43957018515
5,Jogging,29,472698.0228385443
5,Jogging,31,486653.70902759396
5,Jogging,32,460685.2230510443
5,Jogging,33,479700.2511263995
5,Jogging,34,485843.3493373167
5,Jogging,35,494934.6453648283
5,Jogging,36,488135.24376713677
5,Sitting,3,1234991.7214182364
5,Sitting,4,1121624.4443234373
5,Sitting,5,563936.0674711671
5,Sitting,6,568851.3130495965
5,Sitting,7,563771.5354902159
